ticker,date,signal_time,entry_time,entry_price,outcome,exit_time,exit_price,return_pct,minutes_held
JTAI,2026-08-04,09:30,09:41,2.0795,SL2,10:34,2.266655,8.0,53.0
LDI,2026-08-05,09:32,09:39,1.086749964952469,EOD,15:54,1.034999966621399,-5.761904761904773,375.0
NEOV,2026-08-05,09:36,09:43,2.8243949174880982,EOD,15:54,2.8499999046325684,-0.09343459776361018,371.0
DXST,2026-08-05,09:30,09:57,2.5899999141693115,EOD,15:52,2.575000047683716,-1.579145443346727,355.0
ZJYL,2026-08-05,09:44,10:09,2.273670029640198,SL,14:39,2.046303026676178,-11.0,270.0
KMRK,2026-08-05,11:04,11:07,1.354394942522049,SL,11:42,1.2100000381469727,-11.661211131385011,35.0
EVTL,2026-08-06,09:44,10:04,1.2600000500679016,EODT,14:30,1.2350000143051147,-2.9841297436011693,266.0
BRLT,2026-08-06,10:15,10:20,1.2400000095367432,EODT,14:35,1.225000023841858,-2.209676256413027,255.0
CABR,2026-08-07,09:31,09:43,1.7587499499320984,SL,11:31,1.5828749549388885,-11.000000000000004,108.0
ZYBT,2026-08-07,09:50,09:52,3.299999952316284,SL,09:52,2.969999957084656,-10.999999999999993,0.0
EXFY,2026-08-07,09:59,10:06,2.525249969959259,TP,12:47,2.777774966955185,9.000000000000004,161.0
AREC,2026-08-07,10:06,10:35,2.5147499799728394,MANUAL,12:51,2.5794999599456787,1.574807853206091,136.0
CHMI,2026-08-10,09:46,10:16,2.7803,EODT,14:43,2.715,-3.348667,267.0
POWW,2026-08-10,09:33,09:39,2.5935,EODT,14:30,2.5611,-2.249278,291.0
VFF,2026-08-10,09:32,09:35,2.4885,SL,12:20,2.23965,-11.0,165.0
OGI,2026-08-11,09:32,10:03,1.2074999749660493,EODT,14:30,1.184999942779541,-2.863356741447629,267.0
DRMA,2026-08-12,09:32,09:48,1.3600000143051147,SL,09:57,1.2240000128746034,-10.999999999999993,9.0
BIVI,2026-08-12,09:30,09:36,1.5225000500679016,TP,09:42,1.6747500550746919,9.00000000000001,6.0
GRWG,2026-08-12,09:31,09:33,1.7534999549388885,TP,09:53,1.9288499504327776,9.000000000000012,20.0
USIO,2026-08-13,09:32,09:35,2.7299998998641968,MANUAL,11:02,2.5999999046325684,-5.761904761904762,87.0
MOBX,2026-08-13,09:31,09:41,1.6222499549388887,MANUAL,11:02,1.600100040435791,-2.3653823466391817,81.0
USIO,2026-08-13,09:32,09:35,2.7299998998641968,SL,11:18,2.4569999098777773,-10.999999999999993,103.0
WOK,2026-08-17,09:39,09:41,2.7720001101493836,TP,09:52,3.049200121164322,9.000000000000002,11.0
CRGO,2026-08-17,10:09,10:31,1.512000060081482,TP,10:52,1.6632000660896304,9.000000000000014,21.0
ZNB,2026-08-19,09:31,09:32,2.7625500440597537,SL,09:38,2.486295039653778,-11.000000000000005,6.0
TGL,2026-08-19,09:34,10:04,2.9200000762939453,TP,10:06,3.21200008392334,9.000000000000005,2.0
BIVI,2026-08-20,09:41,09:44,1.8217500150203705,TP,09:52,2.0039250165224076,9.000000000000005,8.0
BEEM,2026-08-20,10:45,11:14,1.4098999500274658,EODT,14:30,1.3899999856948853,-2.411445140642278,196.0
BIVI,2026-08-21,09:32,09:42,2.4464999198913575,SL,09:50,2.201849927902222,-10.999999999999995,8.0
CYPH,2026-08-21,09:36,09:40,1.380750060081482,SL,10:46,1.2426750540733338,-10.999999999999996,66.0
VWAV,2026-08-21,10:32,11:01,1.2179999649524689,EODT,14:31,1.125,-8.635465322537847,210.0
OLOX,2026-08-24,09:31,09:35,2.4100000858306885,SL,10:03,2.16900007724762,-10.99999999999999,28.0
BMEA,2026-08-24,09:32,09:42,1.625,EODT,14:30,1.5791000127792358,-3.8246145982008715,288.0
NPWR,2026-08-24,09:30,09:52,1.9425000250339508,EODT,14:30,1.9850000143051147,1.1879016073845934,278.0
RZLV,2026-08-25,09:34,09:41,2.845604932308197,SL,14:13,2.430000066757202,-15.605149886842488,272.0
CDTG,2026-08-26,09:38,09:40,1.3757099747657777,SL,09:41,1.2381389772892,-10.999999999999998,1.0
APRE,2026-08-26,09:31,09:36,1.1392500400543213,SL,09:39,1.0253250360488892,-10.999999999999993,3.0
ACTU,2026-08-26,10:20,10:28,1.7534999549388885,SL,12:12,1.5781499594449997,-11.0,104.0
NUWE,2026-08-26,09:42,10:12,1.0396050274372102,EODT,14:30,1.0149999856948853,-3.3667682526488174,258.0
NMTC,2026-08-27,09:31,09:33,2.6500000953674316,TP,09:34,3.1600000858306885,18.245281966397197,1.0
PETZ,2026-09-01,09:32,09:37,1.3546049773693085,TP,13:01,1.4900654751062394,9.000000000000005,204.0
GYGY,2026-09-01,09:31,09:36,1.4783999919891357,SL,09:55,1.3305599927902223,-10.999999999999991,19.0
SST,2026-09-01,09:30,09:39,2.5725000500679016,SL,09:53,2.3152500450611115,-10.999999999999996,14.0
DH,2026-09-02,09:32,09:43,1.1399999856948853,EODT,14:30,1.0449999570846558,-9.333335947572172,287.0
CURV,2026-09-04,09:31,09:36,2.593500030040741,EODT,14:30,2.5199999809265137,-3.8340099580825093,294.0
